#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Dengue4" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Dengue4" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Dengue4" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Dengue4" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Dengue4">
#                    <trait id="dateTrait.t:Dengue4" spec="beast.evolution.tree.TraitSet" traitname="date">
#                D4Brazi_1982=1982.0,
#D4ElSal_1983=1983.0,
#D4ElSal_1994=1994.0,
#D4Indon_1976=1976.0,
#D4Indon_1977=1977.0,
#D4Mexico_1984=1984.0,
#D4NewCal_1981=1981.0,
#D4Philip_1964=1964.0,
#D4Philip_1956=1956.0,
#D4Philip_1984=1984.0,
#D4PRico_1986=1986.0,
#D4SLanka_1978=1978.0,
#D4Tahiti_1979=1979.0,
#D4Tahiti_1985=1985.0,
#D4Thai_1963=1963.0,
#D4Thai_1978=1978.0,
#D4Thai_1984=1984.0                
#                                    <taxa id="TaxonSet.Dengue4" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.Dengue4"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:Dengue4" name="distribution">
#            <parameter id="clockRate.c:Dengue4" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:Dengue4" name="distribution">
#            <parameter id="kappa.s:Dengue4" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Dengue4" name="distribution" x="@popSize.t:Dengue4">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <distribution id="D4PRico  .prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tipsonly="true" tree="@Tree.t:Dengue4">
#            <taxonset id="D4PRico  " spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="D4PRico_1986" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="mean">1986.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="sigma">5.0</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.Dengue4	TreeHeight	clockRate	kappa	popSize	CoalescentConstant	logP(mrca(D4PRico  .prior))	height(D4PRico_1986)	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-17.374355853887643	NaN	-17.374355853887643	NaN	38.09003389183889	1.0139596414388465	2.0	0.3	-14.184592178600518	-2.5283764456387727	1986.0	0.25	0.25	0.25	0.25
100000	-22.718909756004933	NaN	-22.718909756004933	NaN	38.58521035579313	5.899588811923898E207	1.130966224700665	1.153266084814503	-18.45873207713212	-2.606344587802335	1984.025561571439	0.3439363171673543	0.06944053787551277	0.16025395785594276	0.4263691871011901
200000	-9.874475480316445	NaN	-9.874475480316445	NaN	38.90202227302625	Infinity	4.859638345766024	0.4726073197212872	-4.825441738896913	-2.9674719204937623	1990.6855921443025	0.010647411151384803	0.6532816830916424	0.13137372589126267	0.20469717986571
300000	25.48736676303884	NaN	25.48736676303884	NaN	38.00254650583625	Infinity	0.5326590542381151	0.08454741736067371	27.314374944691444	-2.9351662965924734	1990.5099326544512	0.06171486171791417	0.008931164286742177	0.4342819721907083	0.495072001804635
400000	44.164926528657695	NaN	44.164926528657695	NaN	38.00402397973257	Infinity	1.0548055987924634	0.019119227215871577	44.62939241332636	-2.939325243298184	1990.53292840038	0.27965329219238716	0.2575330924594396	0.4181558769810573	0.044657738367115965
500000	58.91751957537588	NaN	58.91751957537588	NaN	38.01653043409151	Infinity	1.3161576079381512	0.00912380803525792	58.7448113164405	-2.9390295536704962	1990.531297319928	0.5035994966475033	0.27500826008768325	0.0898197646617992	0.13157247860301435
600000	-18.1403984798271	NaN	-18.1403984798271	NaN	39.04229275413647	Infinity	2.1259860514700546	0.7030344299912129	-13.375442070700096	-3.2016599920164026	1991.8020838772704	0.22404979115588186	0.38087897799108794	0.2581597834002563	0.13691144745277364
700000	-42.9616539337875	NaN	-42.9616539337875	NaN	41.86257320061562	Infinity	0.9692858729839217	4.217390054218065	-36.9474362634468	-3.12383815402048	1980.5435281161647	0.3877676420079037	0.07509002789953187	0.12057080893362665	0.4165715211589378
800000	-36.516672818919126	NaN	-36.516672818919126	NaN	40.629073053632155	Infinity	50.54581363017304	1.716551446086471	-25.59919532041792	-2.5783649501907235	1987.5809570606432	0.1304214791945483	0.2244449909179463	0.3184480841779278	0.3266854457095776
900000	28.003429840128167	NaN	28.003429840128167	NaN	38.1225064937442	Infinity	0.9150514192107507	0.07647579754936888	29.481380980934617	-2.616087102086934	1988.0941663788744	0.02884400675920107	0.022061942140038024	0.8794774899067321	0.06961656119402906
1000000	38.22333600881357	NaN	38.22333600881357	NaN	38.026727497300804	Infinity	31.159508419987386	0.016801712341762823	43.259665523370295	-2.637625284567237	1988.3371867589954	0.1509829653968042	0.5769602266589852	0.09167315997936475	0.18038364796484613
1100000	-43.01088285985276	NaN	-43.01088285985276	NaN	42.61241433356037	Infinity	3.812448817086716	3.347869729334946	-36.17245110140909	-3.1131368338256733	1980.592780806242	0.5132701693064766	0.10157842545866552	0.17536953592052698	0.2097818693143313
1200000	-63.99204852575438	NaN	-63.99204852575438	NaN	39.72816405174533	Infinity	1.5320079724674744	10.035126084304006	-57.476773176835394	-2.5353028176929007	1986.588488404904	0.15381404961090933	0.5266767549888106	0.16554234662925604	0.1539668487710243
1300000	-128.49239878855428	NaN	-128.49239878855428	NaN	709.8557270677943	Infinity	17.590315518969568	618.9536045800621	-114.33646231978022	-2.6026386408406097	1987.9269431128323	0.6020514264048801	0.061229494574308096	0.1159751804511654	0.22074389856964644
1400000	37.5394189803656	NaN	37.5394189803656	NaN	38.087604533243386	Infinity	11.603723721686091	0.027314981187058485	40.84461385282474	-2.6380755530496316	1988.3419981576728	0.20889964748415912	0.7021896867404528	0.07019263041404644	0.018718035361341617
1500000	-16.29449152984784	NaN	-16.29449152984784	NaN	38.4216330673424	Infinity	0.6708543886396191	0.7623157712744963	-12.33544751910512	-2.8610732640753547	1981.9214167996927	0.24249844015521682	0.09657359925869241	0.1985276741931156	0.46240028639297515
1600000	6.457497457455895	NaN	6.457497457455895	NaN	38.0943509186167	Infinity	8.902163539738526	0.12848209216444428	11.633130726369188	-3.4488884230602643	1992.7842168944599	0.20324723389611188	0.5090269227326881	0.21773178213532346	0.06999406123587631
1700000	-91.59827537394719	NaN	-91.59827537394719	NaN	128.21394009875956	Infinity	4.397151002421791	34.75534694142729	-82.13372451589541	-3.2191562811001275	1991.876988325075	0.27740607473306444	0.21922294122575794	0.07427996794169844	0.42909101609947853
1800000	-6.5759297635700005	NaN	-6.5759297635700005	NaN	38.70916658502033	Infinity	4.034930693352447	0.3577447572285593	-1.7870501615428618	-3.229818656912424	1980.0778288978042	0.2514672743855817	0.003996487662686926	0.5545174212339414	0.19001881671778925
1900000	-14.280563330717893	NaN	-14.280563330717893	NaN	38.74322040089055	Infinity	0.8670339703183229	0.573266612774724	-10.062429053765335	-3.357306170340574	1979.562105450142	0.17084760773585983	0.1028975515633141	0.14129392757151776	0.5849609131293076
2000000	-69.50929882149836	NaN	-69.50929882149836	NaN	44.4290237363708	Infinity	3.4365694979394266	13.77364295374568	-61.958969645337724	-2.5334235834240495	1986.5023513603683	0.08458260852446142	0.350403671947455	0.2871620070355582	0.27785171249252494
2100000	-101.12349130349538	NaN	-101.12349130349538	NaN	172.34116254622995	Infinity	0.9053979804175272	120.0025321216197	-92.35840217503433	-2.548110757304374	1986.9933355844225	3.114943078529331E-4	0.1431963186112378	0.49832681832459164	0.35816536875631716
